RUN,2016-10-12,Ran 4.0km in 0:30:00,14
RUN,2016-10-13,Ran 4.0km in 0:30:00,14
RUN,2016-10-14,Ran 4.0km in 0:30:00,14
RUN,2016-10-15,Ran 4.1km in 0:30:00,14
RUN,2016-10-16,Ran 4.0km in 0:30:00,14
RUN,2016-10-17,Ran 4.0km in 0:30:00,14
RUN,2016-10-18,Ran 4.1km in 0:30:00,14
RUN,2016-10-19,Ran 4.1km in 0:30:00,14
RUN,2016-10-20,Ran 4.2km in 0:30:00,14
RUN,2016-10-21,Ran 4.1km in 0:30:00,14
RUN,2016-10-22,Ran 4.2km in 0:30:00,14
RUN,2016-10-23,Ran 4.2km in 0:30:00,14
RUN,2016-10-24,Ran 4.4km in 0:30:00,14
RUN,2016-10-28,Ran 4.3km in 0:30:00,14
RUN,2016-10-29,Ran 4.3km in 0:30:00,14
RUN,2016-10-30,Ran 9.6km in 1:00:26,19
RUN,2016-10-31,Ran 4.3km in 0:30:00,14
RUN,2016-11-01,Ran 4.3km in 0:30:00,14
RUN,2016-11-03,Ran 4.4km in 0:30:00,14
RUN,2016-11-07,Ran 4.9km in 0:30:00,14
RUN,2016-11-08,Ran 4.5km in 0:30:00,14
RUN,2016-11-10,Ran 4.5km in 0:30:00,14
RUN,2016-11-11,Ran 4.5km in 0:30:00,14
RUN,2016-11-12,Ran 4.6km in 0:30:00,14
RUN,2016-11-13,Ran 4.5km in 0:30:00,14
RUN,2016-11-14,Ran 5.0km in 0:30:15,15
RUN,2016-11-15,Ran 4.5km in 0:30:00,14
RUN,2016-11-17,Ran 4.0km in 0:30:00,14
RUN,2016-11-18,Ran 4.7km in 0:30:00,14
RUN,2016-11-19,Ran 4.7km in 0:30:00,14
RUN,2016-11-20,Ran 5.2km in 0:30:03,15
RUN,2016-11-21,Ran 4.7km in 0:30:00,14
RUN,2016-11-22,Ran 4.7km in 0:30:00,14
RUN,2016-11-24,Ran 4.1km in 0:30:00,14
RUN,2016-11-26,Ran 9.5km in 0:59:27,19
RUN,2016-11-28,Ran 5.0km in 0:30:00,15
RUN,2016-12-05,Ran 5.0km in 0:30:00,15
RUN,2016-12-09,Ran 5.0km in 0:30:00,15
RUN,2016-12-10,Ran 5.4km in 0:30:00,15
RUN,2016-12-11,Ran 5.0km in 0:30:00,15
RUN,2016-12-12,Ran 5.0km in 0:30:00,15
RUN,2016-12-13,Ran 5.0km in 0:30:00,15
RUN,2016-12-15,Ran 5.0km in 0:30:00,15
RUN,2016-12-19,Ran 5.2km in 0:30:00,15
RUN,2016-12-28,Ran 7.0km in 0:39:54,17
RUN,2016-12-29,Ran 5.0km in 0:30:00,15
RUN,2016-12-31,Ran 9.6km in 0:59:09,19
RUN,2017-01-02,Ran 5.0km in 0:30:00,15
RUN,2017-01-03,Ran 5.2km in 0:30:00,15
RUN,2017-01-04,Ran 5.2km in 0:30:00,15
RUN,2017-01-08,Ran 9.5km in 0:56:44,19
RUN,2017-01-09,Ran 5.2km in 0:30:00,15
RUN,2017-01-10,Ran 4.7km in 0:30:00,14
RUN,2017-01-12,Ran 5.2km in 0:30:00,15
RUN,2017-01-14,Ran 5.3km in 0:30:00,15
RUN,2017-01-16,Ran 5.3km in 0:30:00,15
RUN,2017-01-17,Ran 4.8km in 0:30:00,14
RUN,2017-01-20,Ran 5.0km in 0:30:00,15
RUN,2017-01-21,Ran 9.7km in 0:58:56,19
RUN,2017-01-22,Ran 5.0km in 0:30:00,15
RUN,2017-01-23,Ran 5.0km in 0:30:00,15
RUN,2017-01-24,Ran 5.3km in 0:30:00,15
RUN,2017-01-27,Ran 5.0km in 0:30:00,15
