,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Index
227,31-Oct-2012,Wednesday,,,,,,,,,,,,,,,Too busy at work,,89.1000000000001,,,1.120
228,1-Nov-2012,Thursday,9.2,0:50:08,0:05:26,11.01,171,84,0.91%,,11.49,12.18,1:50:46,1:44:35,3:53:39,Risenga/Kirkeveien/Semsveien,Snow mostly gone. Slight hangover.,,,,,1.120
229,2-Nov-2012,Friday,,,,,,,,,,,,,,,,,,,,1.121
230,3-Nov-2012,Saturday,,,,,,,,,,,,,,,"Rain. 60m exbike, res 5, 31.2km",,,,,1.121
231,4-Nov-2012,Sunday,19.3,1:50:47,0:05:44,10.45,158,172,0.89%,,12.73,13.40,1:40:05,1:35:00,3:31:13,Risenga/Kirkeveien/Semsveien/Heggedal,Cold and wet. Took it easy.,35.7,,3:22:17,5.67,1.122
232,5-Nov-2012,Monday,,,,,,,,,,,,,,,,,,,,1.122
233,6-Nov-2012,Tuesday,,,,,,,,,,,,,,,"Snow.  60m exbike, res 5, 31.1km",,,,,1.123
234,7-Nov-2012,Wednesday,,,,,,,,,,,,,,,Snow.  Busy during day and evening,,,,,1.124
235,8-Nov-2012,Thursday,,,,,,,,,,,,,,,"Busy.  60m exbike, res 5, 31.1km",,,,,1.124
236,9-Nov-2012,Friday,,,,,,,,,,,,,,,New road and indoor shoes arrive.,,,,,1.125
237,10-Nov-2012,Saturday,10.1,1:00:00,0:05:56,10.10,160,0,0.00%,11.99,,11.99,1:52:35,1:46:13,3:57:30,Treadmill,"45 @ 11kph, 166bpm + WU, CD",,,,,1.125
238,11-Nov-2012,Sunday,20.4,2:00:00,0:05:52,10.20,160,0,0.00%,12.11,,12.11,1:51:25,1:45:10,3:55:01,Treadmill,"110 @ 10.5kph, 160bpm + WU, CD",30.5,,3:00:00,5.90,1.126
239,12-Nov-2012,Monday,,,,,,,,,,,,,,,,,,,,1.126
240,13-Nov-2012,Tuesday,10.27,1:02:24,0:06:04,9.88,161,113,1.10%,,11.58,12.41,1:48:36,1:42:39,3:49:07,Semsvann,"Cold, muddy, icy in places. Felt v easy.",,,,,1.127
241,14-Nov-2012,Wednesday,10.79,0:58:04,0:05:22,11.15,170,91,0.84%,,11.77,12.40,1:48:39,1:42:42,3:49:14,Heggedal,"5 WU, 10 fast, 15 easy, 30 moderate",,,,,1.127
242,15-Nov-2012,Thursday,10.1,0:57:04,0:05:39,10.62,167,110,1.09%,,11.60,12.41,1:48:33,1:42:36,3:49:00,Semsvann,Pretty easy. Muddy in places but no ice.,,,,,1.128
243,16-Nov-2012,Friday,,,,,,,,,,,,,,,,,,,,1.129
244,17-Nov-2012,Saturday,10.7,1:00:00,0:05:36,10.70,159,0,0.00%,12.87,,12.87,1:44:28,1:38:58,3:40:27,Treadmill,"Evening. 50 @ 11kph, 160bpm + WU, CD",,,,,1.129
245,18-Nov-2012,Sunday,22.1,2:00:42,0:05:27,10.99,162,206,0.93%,,12.73,13.43,1:39:52,1:34:49,3:30:46,Heggedal,"Afternoon. Easy on lungs, hard on legs.",63.96,,5:58:14,5.60,1.130
246,19-Nov-2012,Monday,,,,,,,,,,,,,,,,,,,,1.130
247,20-Nov-2012,Tuesday,11,1:00:00,0:05:27,11.00,165,0,0.00%,12.29,,12.29,1:49:39,1:43:36,3:51:21,Treadmill,"Midday.  Build-up 11kph to 11.8kph, + WU, CD",,,,,1.131
248,21-Nov-2012,Wednesday,10.2,0:53:02,0:05:11,11.54,169,93,0.91%,,12.32,13.00,1:43:19,1:37:56,3:38:03,Semsvann,"Good effort. Muddy, slippery.",,,,,1.131
249,22-Nov-2012,Thursday,,,,,,,,,,,,,,,Busy at work; Eva and Kat sick in evening.,,,,,1.132
250,23-Nov-2012,Friday,,,,,,,,,,,,,,,,,,,,1.133
251,24-Nov-2012,Saturday,19.6,1:56:00,0:05:55,10.14,161,373,1.90%,,11.89,13.32,1:40:44,1:35:36,3:32:35,Gupu,"Muddy, foggy, cold, hilly. Good fun!",,,,,1.133
252,25-Nov-2012,Sunday,7.5,0:45:00,0:06:00,10.00,147,0,0.00%,14.18,,14.18,1:34:16,1:29:45,3:19:00,Treadmill,"Easy effort, but hamstrings hurt. +Weights",48.3,,4:34:02,5.67,1.134
253,26-Nov-2012,Monday,,,,,,,,,,,,,,,,,,,,1.134
254,27-Nov-2012,Tuesday,6.6,0:45:00,0:06:49,8.80,142,0,0.00%,13.48,,13.48,1:39:25,1:34:24,3:29:49,Treadmill,"Very easy, DOMS after squats on Sunday",,,,,1.135
255,28-Nov-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.135
256,29-Nov-2012,Thursday,10.6,1:00:00,0:05:39,10.60,160,0,0.00%,12.59,,12.59,1:46:56,1:41:10,3:45:38,Treadmill,"Comfortable. 45 @ 11kph, 163 bpm",,,,,1.136
257,30-Nov-2012,Friday,,,,,,,,,,,,,,,,,188.46,,,1.137
258,1-Dec-2012,Saturday,10,1:00:00,0:06:00,10.00,153,0,0.00%,13.01,,13.01,1:43:13,1:37:50,3:37:50,Treadmill,Sick. Felt alright while running. Weights after.,,,,,1.137
