,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,,,,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Plan time,Plan pace,Plan distance,Plan km,Pmth,Index,TimeWk,plan pace,RHR,Max km
,19-Sep-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.196,,,,
,20-Sep-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.197,,,,
,21-Sep-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.197,#VALUE!,#VALUE!,,0
,22-Sep-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.198,,,,
,23-Sep-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.198,,,,
,24-Sep-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.199,,,,
,25-Sep-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.200,,,,
,26-Sep-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.200,,,,
,27-Sep-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.201,,,,
,28-Sep-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.201,#VALUE!,#VALUE!,,0
,29-Sep-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.202,,,,
,30-Sep-2014,Tuesday,,,,,,,,,,,,,,,,,0,,,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,1.203,,,,
,1-Oct-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.203,,,,
,2-Oct-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.204,,,,
,3-Oct-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.204,,,,
,4-Oct-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.205,,,,
,5-Oct-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.206,#VALUE!,#VALUE!,,0
,6-Oct-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.206,,,,
,7-Oct-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.207,,,,
,8-Oct-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.207,,,,
,9-Oct-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.208,,,,
,10-Oct-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.209,,,,
,11-Oct-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.209,,,,
,12-Oct-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.210,#VALUE!,#VALUE!,,0
,13-Oct-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.210,,,,
,14-Oct-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.211,,,,
,15-Oct-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.212,,,,
,16-Oct-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.212,,,,
,17-Oct-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.213,,,,
,18-Oct-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.213,,,,
,19-Oct-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.214,#VALUE!,#VALUE!,,0
,20-Oct-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.215,,,,
,21-Oct-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.215,,,,
,22-Oct-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.216,,,,
,23-Oct-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.216,,,,
,24-Oct-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.217,,,,
,25-Oct-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.218,,,,
,26-Oct-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.218,#VALUE!,#VALUE!,,0
,27-Oct-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.219,,,,
